rating	playlist_id	video_id	title	duration_s	url
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	iLF0ZNdhNM0	Justin Bieber - YUKON (Live From The 68th Grammy Awards / 2026)	309	https://www.youtube.com/watch?v=iLF0ZNdhNM0
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	esqRBsVumrw	Jungle - Candle Flame (feat. Erick The Architect) (Official Video)	234	https://www.youtube.com/watch?v=esqRBsVumrw
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	TiGhRcruIJY	Dijon - Big Mike's (Live)	426	https://www.youtube.com/watch?v=TiGhRcruIJY
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	KXdW0g6jAxE	Anderson .Paak - The Bird	219	https://www.youtube.com/watch?v=KXdW0g6jAxE
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	Uo0c3TECDkM	Hiatus Kaiyote - Nakamarra (Official Video)	274	https://www.youtube.com/watch?v=Uo0c3TECDkM
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	sop2V_MREEI	Kendrick Lamar - i (Live on SNL)	292	https://www.youtube.com/watch?v=sop2V_MREEI
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	89RgkWOsn18	Lost	185	https://www.youtube.com/watch?v=89RgkWOsn18
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	pxAWICqgjHM	Allah-Las - Houston (Official Audio)	134	https://www.youtube.com/watch?v=pxAWICqgjHM
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	feylzBVRPR4	Yuma Abe - Fantasia (ファンタジア) Official Audio	106	https://www.youtube.com/watch?v=feylzBVRPR4
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	l0aoRUbQdp4	恋は桃色（New ver.）	235	https://www.youtube.com/watch?v=l0aoRUbQdp4
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	961LpbX4zCU	Peter Cat Recording Co. - Floated By	276	https://www.youtube.com/watch?v=961LpbX4zCU
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	S1bNywKwTL8	Não Vou Sair	253	https://www.youtube.com/watch?v=S1bNywKwTL8
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	EO5dUydK2vU	Tom Misch & Yussef Dayes - Last 100 (Official Audio)	241	https://www.youtube.com/watch?v=EO5dUydK2vU
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	YvTSwZV9mSI	Bob McKinney	176	https://www.youtube.com/watch?v=YvTSwZV9mSI
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	wXvX1vOe0rQ	Peach Dream	223	https://www.youtube.com/watch?v=wXvX1vOe0rQ
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	1GmuDka6pbk	Loyle Carner - Angel ft. Tom Misch	285	https://www.youtube.com/watch?v=1GmuDka6pbk
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	It2s36sL4aM	Chicken Grease	279	https://www.youtube.com/watch?v=It2s36sL4aM
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	zNTNbNtft9g	NxWorries (Anderson.Paak & Knxwledge) "Suede" – Official Video	230	https://www.youtube.com/watch?v=zNTNbNtft9g
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	crRkxQYbSSo	Burna Boy - Rock Your Body [Official Audio]	222	https://www.youtube.com/watch?v=crRkxQYbSSo
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	d56ce14I3RU	03/27	57	https://www.youtube.com/watch?v=d56ce14I3RU
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	O_HoOpJ60C0	Charli xcx - 360 (official lyric video)	139	https://www.youtube.com/watch?v=O_HoOpJ60C0
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	IQvN2a0zoUY	Ballaké Sissoko / Vincent Segal - "Ma-Ma" FC	312	https://www.youtube.com/watch?v=IQvN2a0zoUY
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	rqScfATfNnc	FKJ - 10 Years Ago (Official Audio)	201	https://www.youtube.com/watch?v=rqScfATfNnc
6	PLoxlz_x73gZO1UKfmdIRRvnJBiJkQd53l	HAHxJB9_z-8	Raveena - I Won't Mind (Live At Luiny's)	243	https://www.youtube.com/watch?v=HAHxJB9_z-8
